Service	Service_Tier	Opened_Date	Resolved_Date	State	Priority	Assignment_Group	Reassignment_Count	Reopened_Flag	Change_Related_Flag	Problem_ID	Channel
Customer Portal	Tier 1	8/27/25 1:07	8/30/25 1:07	Closed	P4	Service Desk	2	0	0	PRB1039	Phone
Customer Portal	Tier 1	4/18/25 23:51	4/23/25 3:51	Closed	P3	Web Team	4	0	0	PRB1098	Self Service
Inventory System	Tier 3	12/3/25 17:50	12/3/25 20:50	Closed	P4	Platform Eng	0	0	0		Alert
Customer Portal	Tier 1	6/8/25 17:14	6/11/25 3:14	Closed	P4	Web Team	5	0	0	PRB1075	Email
Mobile App	Tier 2	11/2/25 8:24	11/4/25 7:24	Closed	P2	Network Sec	2	1	0	PRB1077	Alert
Customer Portal	Tier 1	3/19/25 23:38	3/21/25 6:38	Closed	P4	Service Desk	3	0	0	PRB1100	Phone
Customer Portal	Tier 1	9/26/25 3:58	9/27/25 3:58	Closed	P5	Service Desk	4	0	0	PRB1023	Phone
Mobile App	Tier 2	10/19/25 23:40	10/21/25 11:40	Closed	P2	Network Sec	2	0	0	PRB1027	Alert
Mobile App	Tier 2	9/2/25 9:51	9/2/25 15:51	Closed	P4	Network Sec	1	0	0	PRB1085	Alert
Customer Portal	Tier 1	11/20/25 14:33	11/25/25 8:33	Closed	P5	Web Team	6	0	0	PRB1074	Self Service
Customer Portal	Tier 1	2/3/26 3:02	2/6/26 13:02	Closed	P3	Service Desk	4	1	0		Phone
Mobile App	Tier 2	10/31/25 16:40	11/1/25 23:40	Closed	P3	Network Sec	2	0	0	PRB1027	Alert
Customer Portal	Tier 1	10/1/25 6:02	10/2/25 15:02	Closed	P3	Web Team	4	1	0	PRB1030	Email
Payment Gateway	Tier 1	12/24/25 11:39	12/24/25 17:39	Closed	P2	Integration Ops	0	0	0	PRB1036	Alert
Inventory System	Tier 3	6/24/25 9:47	6/24/25 15:47	Closed	P4	Platform Eng	0	0	0	PRB1021	Alert
Customer Portal	Tier 1	9/13/25 4:21	9/16/25 19:21	Closed	P4	DBA Core	2	1	0		Alert
Mobile App	Tier 2	11/21/25 17:07	11/23/25 9:07	Closed	P4	Network Sec	2	0	0	PRB1096	Alert
Payment Gateway	Tier 1	9/15/25 2:39	9/15/25 4:39	Closed	P2	Integration Ops	2	0	1	PRB1052	Alert
Customer Portal	Tier 1	7/15/25 13:12	7/16/25 22:12	Closed	P4	Web Team	6	1	0	PRB1090	Self Service
Customer Portal	Tier 1	11/2/25 17:13	11/6/25 23:13	Closed	P3	Web Team	4	1	0	PRB1017	Self Service
Payment Gateway	Tier 1	9/7/25 15:49	9/7/25 16:49	Closed	P2	Integration Ops	2	0	0	PRB1079	Alert
Inventory System	Tier 3	9/27/25 17:04	9/28/25 10:04	Closed	P4	Platform Eng	1	0	0		Alert
Customer Portal	Tier 1	11/22/25 22:20	11/26/25 14:20	Closed	P3	Service Desk	4	0	0	PRB1017	Phone
Customer Portal	Tier 1	8/5/25 7:46	8/7/25 3:46	Closed	P3	Web Team	5	0	0		Email
Customer Portal	Tier 1	11/23/25 9:19	11/27/25 17:19	Closed	P3	Web Team	4	0	0	PRB1011	Self Service
Customer Portal	Tier 1	7/24/25 11:09	7/26/25 6:09	Closed	P4	DBA Core	5	0	0	PRB1100	Alert
Customer Portal	Tier 1	11/3/25 2:11	11/4/25 18:11	Closed	P4	Web Team	4	0	0	PRB1074	Email
Mobile App	Tier 2	1/26/26 19:25	1/27/26 20:25	Closed	P2	Network Sec	3	0	0	PRB1089	Alert
Customer Portal	Tier 1	8/4/25 12:28	8/8/25 5:28	Closed	P4	DBA Core	6	1	0	PRB1078	Alert
Customer Portal	Tier 1	6/12/25 23:32	6/14/25 23:32	Closed	P4	Service Desk	4	0	0	PRB1088	Phone
Inventory System	Tier 3	9/30/25 4:00	9/30/25 9:00	Closed	P4	Platform Eng	0	0	0	PRB1050	Alert
Mobile App	Tier 2	5/6/25 21:27	5/8/25 16:27	Closed	P4	Network Sec	3	1	0	PRB1037	Alert
Payment Gateway	Tier 1	12/22/25 1:54	12/22/25 4:54	Closed	P1	Integration Ops	0	0	0	PRB1086	Alert
Customer Portal	Tier 1	1/3/26 4:47	1/5/26 16:47	Closed	P4	DBA Core	3	0	0		Email
