Service,Problem_ID,State,Opened_Date,RCA_Completed_Flag,Known_Error_Flag,Root_Cause_Text,Assignment_Group
Mobile App,PRB1001,Closed,2025-03-26 17:07:01,1,1,Legacy TLS Handshake Failure,Network Sec
Customer Portal,PRB1002,Open,2025-12-29 15:31:25,1,0,Database Connection Pool Exhaustion,DBA Core
Customer Portal,PRB1003,Closed,2025-06-09 21:51:13,1,0,Database Connection Pool Exhaustion,DBA Core
Payment Gateway,PRB1004,Closed,2025-12-14 08:49:21,1,0,Third Party API Timeout,Integration Ops
Reporting Engine,PRB1005,Closed,2025-03-19 12:34:22,1,0,Stale Redis Cache,Platform Eng
Customer Portal,PRB1006,Closed,2026-01-07 12:16:51,1,1,Database Connection Pool Exhaustion,DBA Core
Inventory System,PRB1007,Closed,2025-11-06 11:08:04,1,0,Stale Redis Cache,Platform Eng
Reporting Engine,PRB1008,Closed,2025-08-11 00:11:46,1,0,Hardware Node Failure,Data Center Ops
Mobile App,PRB1009,Closed,2025-12-15 15:05:07,1,0,Legacy TLS Handshake Failure,Network Sec
Reporting Engine,PRB1010,Closed,2026-02-12 04:08:20,1,1,Hardware Node Failure,Data Center Ops
Customer Portal,PRB1011,Closed,2025-08-01 23:21:46,1,0,Database Connection Pool Exhaustion,DBA Core
Mobile App,PRB1012,Closed,2025-11-08 13:30:44,1,1,Legacy TLS Handshake Failure,Network Sec
Mobile App,PRB1013,Open,2025-06-29 20:05:45,1,0,Legacy TLS Handshake Failure,Network Sec
Payment Gateway,PRB1014,Closed,2026-02-07 07:56:57,1,0,Third Party API Timeout,Integration Ops
Reporting Engine,PRB1015,Closed,2025-08-19 19:07:36,1,0,Stale Redis Cache,Platform Eng
Customer Portal,PRB1016,Closed,2025-09-26 21:10:21,0,0,,DBA Core
Customer Portal,PRB1017,Closed,2025-06-20 18:44:05,1,0,Database Connection Pool Exhaustion,DBA Core
Mobile App,PRB1018,Closed,2025-10-29 14:55:15,1,0,Legacy TLS Handshake Failure,Network Sec
Mobile App,PRB1019,Closed,2025-04-21 07:20:13,1,1,Legacy TLS Handshake Failure,Network Sec
Customer Portal,PRB1020,Closed,2025-12-06 06:32:40,1,0,Database Connection Pool Exhaustion,DBA Core
Inventory System,PRB1021,Closed,2025-10-08 11:42:11,1,0,Hardware Node Failure,Data Center Ops
Payment Gateway,PRB1022,Closed,2025-10-11 12:55:34,1,0,Third Party API Timeout,Integration Ops
Customer Portal,PRB1023,Closed,2025-05-17 10:08:13,0,0,,DBA Core
Customer Portal,PRB1024,Closed,2025-09-27 09:48:02,1,1,Database Connection Pool Exhaustion,DBA Core
Mobile App,PRB1025,Closed,2026-02-06 20:55:36,1,1,Legacy TLS Handshake Failure,Network Sec
Payment Gateway,PRB1026,Open,2025-10-12 11:22:36,0,0,,Integration Ops
