Service,Item,State,Opened_Date
Enterprise Identity,Active Directory Group Access,Closed,2026-02-01
Enterprise Identity,Active Directory Group Access,Closed,2026-02-02
Enterprise Identity,Active Directory Group Access,Closed,2026-02-03
Enterprise Identity,Active Directory Group Access,Closed,2026-02-04
Enterprise Identity,Active Directory Group Access,Closed,2026-02-05
Enterprise Identity,Active Directory Group Access,Closed,2026-02-05
Enterprise Identity,Active Directory Group Access,Closed,2026-02-06
Enterprise Identity,Active Directory Group Access,Closed,2026-02-07
Enterprise Identity,Active Directory Group Access,Closed,2026-02-08
Enterprise Identity,Active Directory Group Access,Closed,2026-02-09
Enterprise Identity,Active Directory Group Access,Closed,2026-02-10
Enterprise Identity,Active Directory Group Access,Closed,2026-02-11
Enterprise Identity,Active Directory Group Access,Closed,2026-02-12
Enterprise Identity,Active Directory Group Access,Closed,2026-02-13
Enterprise Identity,Active Directory Group Access,Closed,2026-02-14
Enterprise Identity,Active Directory Group Access,Closed,2026-02-15
Software Licensing,Provision MS Project License,Closed,2026-02-01
Software Licensing,Provision MS Project License,Closed,2026-02-03
Software Licensing,Provision MS Project License,Closed,2026-02-05
Software Licensing,Provision MS Project License,Closed,2026-02-07
Software Licensing,Provision MS Project License,Closed,2026-02-09
Software Licensing,Provision MS Project License,Closed,2026-02-11
Software Licensing,Provision MS Project License,Closed,2026-02-13
Software Licensing,Provision MS Project License,Closed,2026-02-15
Software Licensing,Provision MS Project License,Closed,2026-02-16
Software Licensing,Provision MS Project License,Closed,2026-02-18
Cloud Infrastructure,AWS Sandbox Spin-Up,Closed,2026-02-02
Cloud Infrastructure,AWS Sandbox Spin-Up,Closed,2026-02-06
Cloud Infrastructure,AWS Sandbox Spin-Up,Closed,2026-02-10
Cloud Infrastructure,AWS Sandbox Spin-Up,Closed,2026-02-14
Cloud Infrastructure,AWS Sandbox Spin-Up,Closed,2026-02-18
